name,price,price_old,sale,url
Диван Виена Velvet Blue,62 990,89 990,-30%,https://www.divan.ru/product/divan-viena-velvet-blue
Диван угловой Льери Мини Velvet Emerald,69 990,99 990,-30%,https://www.divan.ru/product/divan-uglovoj-leri-mini-velvet-emerald
Диван угловой Эдвин Velvet Terra,72 990,91 990,-20%,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-terra
Диван Роттердам Cozy Milk,25 990,36 990,-29%,https://www.divan.ru/product/divan-rotterdam-cozy-milk
Диван Аркет-2 Velvet Yellow,34 990,36 990,-5%,https://www.divan.ru/product/divan-arket-2-velvet-yellow-new
Модульный диван Риббл-2 Bucle Silver,128 980,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-ribbl-2-bucle-silver
Диван Пайпел-3 Bucle Forest,54 990,68 990,-20%,https://www.divan.ru/product/divan-pajpel-3-bucle-forest
Диван угловой Эби-2 Velvet Coral,99 990,134 990,-25%,https://www.divan.ru/product/divan-uglovoj-ebi-2-velvet-coral
Модульный диван Этен 5 Vertical Jeans,77 960,103 960,-25%,https://www.divan.ru/product/modulnyj-divan-eten-5-vertical-jeans
Модульный диван Brera-8 Velour Olive,128 970,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-brera-8-velour-olive
Диван угловой Бонент Velvet Light,89 990,105 990,-15%,https://www.divan.ru/product/divan-uglovoj-bonent-velvet-light
Диван Лави Velvet Eclipse,38 990,64 990,-40%,https://www.divan.ru/product/divan-lavi-velvet-eclipse
Диван угловой Вайвел Barhat Forest,89 990,105 990,-15%,https://www.divan.ru/product/divan-uglovoj-vajvel-barhat-forest
Модульный диван Этен 3 Vertical Mix,140 940,184 940,-23%,https://www.divan.ru/product/modulnyj-divan-eten-3-vertical-mix
Диван угловой Стаус Velvet Caramel,42 990,0,нет скидки,https://www.divan.ru/product/divan-uglovoj-staus-velvet-caramel
Диван Сорен Textile Navy Blue,59 990,70 990,-15%,https://www.divan.ru/product/divan-soren-textile-navy-blue
Диван Динс Velvet Yellow,49 990,70 990,-29%,https://www.divan.ru/product/divan-dins-velvet-yellow
Диван Слипсон Velvet Plum,59 990,85 990,-30%,https://www.divan.ru/product/divan-slipson-velvet-plum
Диван Рон Textile Grafit,52 990,56 990,-7%,https://www.divan.ru/product/divan-ron-textile-grafit
Диван угловой Харинг Soft Toffe,89 990,119 990,-25%,https://www.divan.ru/product/divan-uglovoj-haring-soft-toffe
Диван Риард-2 Land Light,38 990,41 990,-7%,https://www.divan.ru/product/divan-riard-2-land-light
Диван Арклоу Soft Blue,49 990,56 990,-12%,https://www.divan.ru/product/divan-arklou-soft-blue
Диван угловой Льери Мини Velvet Yellow,69 990,99 990,-30%,https://www.divan.ru/product/divan-uglovoj-leri-mini-velvet-yellow
Модульный диван Этен 3 Vertical Mix,140 940,184 940,-23%,https://www.divan.ru/product/modulnyj-divan-eten-3-vertical-mix-old-07-12-2023
Диван Пайпел Bucle Yellow,49 990,62 990,-20%,https://www.divan.ru/product/divan-pajpel-bucle-yellow
Диван Рейли Velvet Emerald,30 990,38 990,-20%,https://www.divan.ru/product/divan-rejli-velvet-emerald
Модульный диван Полан-4 Velvet Ocean,101 960,112 960,-9%,https://www.divan.ru/product/modulnyj-divan-polan-4-velvet-ocean
Диван угловой Лаберт Barhat Olive,99 990,142 990,-30%,https://www.divan.ru/product/divan-uglovoj-labert-barhat-olive
